area_type,availability,society,location,size,total_sqft,bath,balcony,price
residential,Ready To Move                    31-Jan,GOOD,sec 2,4 BHK,1200,3,2,20000
residential,Ready To Move,GOOD,sec 3,3 BHK,1200,3,2,21000
non-residential,Ready To Move,GOOD,sec 4 ,2 BHK,800,2,1,12000
non-residential,Ready To Move,GOOD,sec 13,3 BHK,800,2,1,12500
non-residential,Ready To Move,GOOD,sec 6,3 BHK,800,2,1,13000
non-residential,Ready To Move                    08-Feb,GOOD,sec 7,3 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,3 BHK,1050,2,2,18000
non-residential,Ready To Move,GOOD,sec 11,3 Bedroom,750,2,1,10500
non-residential,Ready To Move,GOOD,sec 10,3 BHK,800,3,1,13000
non-residential,10-Feb,GOOD,sec 14,3 BHK,1050,2,1,18000
residential,Ready To Move,GOOD,sec 2,2 BHK,800,2,1,13000
residential,Ready To Move,GOOD,sec 3,4 Bedroom,1050,2,2,18000
residential,Ready To Move,GOOD,sec 4 ,4 Bedroom,800,2,1,18000
residential,Ready To Move,GOOD,sec 10,2 BHK,700,2,1,14000
residential,Ready To Move,GOOD,sec 10,5 Bedroom,1150,2,1,14000
residential,Ready To Move                    15-Feb,GOOD,sec 6,3 BHK,1250,3,2,24000
residential,Ready To Move,GOOD,sec 7,1 BHK,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 8,4 BHK,750,2,1,14500
residential,Ready To Move,GOOD,sec 7,3 BHK,800,2,1,15000
non-residential,Ready To Move,GOOD,sec 2,3 Bedroom,1000,2,1,18000
non-residential,Ready To Move,GOOD,sec 4 ,2 Bedroom,850,2,1,13000
residential,Ready To Move,GOOD,sec 7,4 Bedroom,1100,3,2,20000
residential,Ready To Move,GOOD,sec 8,3 Bedroom,1150,3,2,22000
residential,Ready To Move,GOOD,sec 6,3 BHK,1200,3,2,23500
residential,Ready To Move                    19-Feb,GOOD,sec 1,1 Bedroom,1250,3,2,24500
residential,Ready To Move,GOOD,sec 2,4 Bedroom,1050,3,2,18500
non-residential,Ready To Move,GOOD,sec 2,3 BHK,800,2,1,14000
non-residential,Ready To Move,GOOD,sec 2,2 BHK,750,2,1,13500
non-residential,Ready To Move,GOOD,sec 1,2 BHK,800-850,2,1,14000
non-residential,Ready To Move,GOOD,sec 1,2 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec6,3 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 10,3 Bedroom,700,2,1,12500
non-residential,Ready To Move,GOOD,sec 11,3 BHK,700,2,1,11500
non-residential,Ready To Move,GOOD,sec 11,2 BHK,400,1,0,9500
non-residential,Ready To Move,GOOD,sec 13,2 BHK,1000,2,1,14500
non-residential,Ready To Move,GOOD,sec 13,3 BHK,950,2,1,12000
non-residential,Ready To Move                    22-Feb,GOOD,sec 14,3 BHK,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 10,3 BHK,1050,3,1,16000
non-residential,Ready To Move,GOOD,sec 2,1 RK,800,2,1,13000
residential,Ready To Move,MEDIUM,sec 2,4 BHK,1100,3,2,19500
residential,Ready To Move,GOOD,sec 2,3 Bedroom,1250,3,2,25000
residential,Ready To Move,GOOD,sec 2,3 BHK,1100,3,2,18000
non-residential,Ready To Move,GOOD,sec 2,2 BHK,800,2,1,10000
non-residential,Ready To Move                   25-Feb,GOOD,sec 1,8 Bedroom,700,2,1,12000
non-residential,Ready To Move,GOOD,sec 10,2 BHK,750,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,2 BHK,750,2,1,13000
residential,Ready To Move,GOOD,sec 7,4 BHK,800,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,3 BHK,950,2,1,15500
residential,Ready To Move,GOOD,sec 1,4 Bedroom,800-850,2,1,13000
residential,Ready To Move,GOOD,sec 1,3 BHK,900-950,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,3 BHK,1000,3,1,10000
residential,Ready To Move,GOOD,sec 6,3 BHK,1200,2,1,15000
residential,Ready To Move,GOOD,sec 7,3 BHK,1250,2,1,25000
residential,Ready To Move,GOOD,sec 8,3 BHK,1200,1,2,14000
residential,Ready To Move,GOOD,sec 10,2 BHK,850,2,0,12000
residential,Ready To Move,GOOD,sec 10,3 Bedroom,800,0,0,23000
NON-residential,Ready To Move,GOOD,sec 11,3 BHK,750,0,0,14000
residential,Ready To Move,MEDIUM,sec 13,1 BHK,700,1,1,10000
residential,Ready To Move,MEDIUM,sec 14,2 BHK,450,1,0,10000
residential,Ready To Move,MEDIUM,sec 14,2 BHK,1050,3,0,12000
residential,Ready To Move,GOOD,sec13,2 BHK,1300,2,1,15000
residential,Ready To Move,BAD,sec 7,2 BHK,1250,0,0,14000
residential,Ready To Move,BAD,sec 6,2 BHK,1200,1,1,13500
residential,Ready To Move,GOOD,sec 2,3 BHK,750,0,0,15200
residential,Ready To Move,GOOD,sec 1,3 BHK,850,0,0,10000
residential,Ready To Move,GOOD,sec 6,6 BHK,450,1,1,9500
residential,Ready To Move,GOOD,sec 1,2 BHK,650,1,1,9500
residential,Ready To Move,GOOD,sec 1,5 Bedroom,950,2,1,12000
residential,Ready To Move,GOOD,sec 8,5 Bedroom,900,2,1,12000
residential,Ready To Move,GOOD,sec 7,2 BHK,850,2,1,13550
residential,Ready To Move,BAD,sec 6,4 BHK,1200,2,1,18000
residential,Ready To Move,GOOD,sec 6,3 BHK,850,2,1,12000
residential,Ready To Move,GOOD,sec 10,2 BHK,1250,3,1,15000
residential,Ready To Move,GOOD,sec 10,3 BHK,1200,3,1,15500
residential,Ready To Move,GOOD,sec 10,3 BHK,2500,4,3,30000
residential,Ready To Move,GOOD,sec 6,2 BHK,2500,4,3,35000
residential,Ready To Move,MEDIUM,sec 4 ,2 BHK,2400,3,3,28000
residential,Ready To Move,MEDIUM,sec 10,3 BHK,1250,3,2,14000
COMMECIAL,Ready To Move,MEDIUM,sec 11,3 BHK,2450,4,3,35000
residential,Ready To Move,GOOD,sec 13,1 BHK,2400,4,2,35000
residential,Ready To Move,GOOD,sec 14,,2350,4,2,25000
residential,Ready To Move,GOOD,sec 2,2 BHK,650,2,0,14000
residential,Ready To Move,BAD,sec 1,3 BHK,850,2,1,15000
residential,Ready To Move,GOOD,sec 1,2 BHK,450,1,0,10000
residential,Ready To Move,GOOD,sec 2,2 BHK,850,2,1,13500
residential,Ready To Move,GOOD,sec 2,3 BHK,800,2,1,15000
residential,Ready To Move,GOOD,sec 6,2 BHK,900,2,0,13000
residential,Ready To Move,GOOD,sec 4 ,2 BHK,950,2,1,14000
residential,Ready To Move,GOOD,sec 6,2 BHK,800,2,1,12000
residential,Ready To Move,GOOD,sec 2,2 BHK,750,1,1,14000
residential,Ready To Move,GOOD,sec 2,2 BHK,1200,2,1,16000
residential,Ready To Move,GOOD,sec 2,2 BHK,1250,2,2,18000
residential,Ready To Move,GOOD,sec 2,6 Bedroom,650,1,1,12000
residential,Ready To Move,GOOD,sec 1,4 Bedroom,450,1,0,10000
residential,Ready To Move,GOOD,sec 6,2 BHK,1200,2,1,15000
residential,Ready To Move,GOOD,sec 11,3 BHK,1000,1,2,15000
residential,Ready To Move,GOOD,sec 13,2 BHK,1250,1,2,14000
residential,Ready To Move,GOOD,sec 14,3 BHK,1200,3,2,15000
residential,Ready To Move,GOOD,sec 10,2 BHK,850,1,1,10000
residential,Ready To Move,GOOD,sec 11,3 Bedroom,950,2,1,14000
residential,Ready To Move,GOOD,sec 14,3 Bedroom,900,0,0,14500
residential,Ready To Move,GOOD,sec 10,2 BHK,800,1,0,12000
residential,Ready To Move,GOOD,sec 4 ,2 BHK,750,1,1,12500
residential,Ready To Move,GOOD,sec 1,5 Bedroom,450,0,0,7000
residential,Ready To Move,GOOD,sec 6,6 Bedroom,650,1,1,10000
residential,Ready To Move,GOOD,sec 2,2 BHK,900,1,1,13000
residential,Ready To Move,GOOD,sec 7,3 BHK,800,1,1,12000
residential,Ready To Move,GOOD,sec 8,2 BHK,1200,2,1,18000
residential,Ready To Move,GOOD,sec 10,1 BHK,1000,2,1,15000
residential,Ready To Move,GOOD,sec 14,4 Bedroom,1250,2,1,19500
residential,Ready To Move,GOOD,sec 2,2 BHK,1650,3,2,20000
residential,Ready To Move,GOOD,sec 6,7 Bedroom,1750,3,3,24000
residential,Ready To Move,GOOD,sec 10,3 BHK,1200,2,1,16500
residential,Ready To Move,GOOD,sec 4 ,2 BHK,1000,1,1,13000
residential,Ready To Move,GOOD,sec 2,3 BHK,450,0,0,8000
residential,Ready To Move,GOOD,sec 6,2 BHK,950,1,0,14000
residential,Ready To Move,GOOD,sec 7,3 BHK,750,1,1,12500
COMMERCIAL,Ready To Move,GOOD,sec 1,3 BHK,2400,4,3,29000
COMMERCIAL,Ready To Move,GOOD,sec 8,4 Bedroom,2600,5,3,36000
residential,Ready To Move,GOOD,sec 8,3 Bedroom,2250,3,2,24000
residential,Ready To Move,GOOD,sec 10,2 Bedroom,1520,4,3,18000
residential,Ready To Move,GOOD,sec 11,4 Bedroom,1400,2,2,17500
residential,Ready To Move,GOOD,sec 12,2 BHK,800,1,1,10000
residential,Ready To Move,GOOD,sec 13,4 BHK,850,1,1,10500
residential,Ready To Move,GOOD,sec 14,1 Bedroom,750,1,0,12000
residential,Ready To Move,GOOD,sec 8,2 BHK,950,2,1,1250
residential,Ready To Move,GOOD,sec 12,1 Bedroom,800,2,1,13000
residential,Ready To Move,GOOD,sec 13,4 BHK,700,1,1,10000
residential,Ready To Move,GOOD,sec 10,2 BHK,900,2,1,12000
residential,Ready To Move,GOOD,sec 2,2 BHK,800,1,1,14000
residential,Ready To Move,GOOD,sec 1,2 Bedroom,850,0,0,14000
residential,Ready To Move,GOOD,sec 2,5 Bedroom,1200,1,0,13000
residential,Ready To Move,GOOD,sec 6,2 BHK,1150,3,0,14500
residential,Ready To Move,GOOD,sec 13,9 Bedroom,1200,2,1,15000
residential,Ready To Move,GOOD,sec 4 ,3 BHK,1250,1,1,18000
residential,Ready To Move,GOOD,sec 8,4 Bedroom,1500,2,2,25000
residential,Ready To Move,GOOD,sec 7,2 BHK,1200,2,2,20000
residential,Ready To Move,GOOD,sec 6,2 BHK,1000,2,1,18000
COMMERCIAL,Ready To Move,GOOD,sec 10,2 BHK,2400,4,3,42000
COMMERCIAL,Ready To Move,GOOD,sec 1,2 BHK,2450,5,4,40000
residential,Ready To Move,GOOD,sec 13,3 BHK,2200,3,2,35000
residential,Ready To Move,GOOD,sec 14,2 BHK,1250,2,1,15000
residential,Ready To Move,GOOD,sec 10,3 BHK,1100,2,1,14000
residential,Ready To Move,GOOD,sec 2,3 BHK,450,0,0,8000
residential,Ready To Move,GOOD,sec 1,3 Bedroom,950,2,1,10000
residential,Ready To Move,GOOD,sec 12,3 BHK,850,0,0,13000
residential,Ready To Move,GOOD,sec 6,2 BHK,750,0,0,12000
residential,Ready To Move,GOOD,sec 2,1 BHK,1150,2,1,14000
residential,Ready To Move                    31-Jan,GOOD,sec 1,2 BHK,1200,3,2,20000
residential,Ready To Move                    31-Jan,GOOD,sec 2,3 BHK,1200,3,2,20000
residential,Ready To Move,GOOD,sec 3,4 Bedroom,1200,3,2,21000
non-residential,Ready To Move,GOOD,sec 4 ,3 BHK,800,2,1,12000
non-residential,Ready To Move,GOOD,sec 13,2 BHK,800,2,1,12500
non-residential,Ready To Move,GOOD,sec 6,4 Bedroom,800,2,1,13000
non-residential,Ready To Move                    08-Feb,GOOD,sec 7,2 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,3 BHK,1050,2,2,18000
non-residential,Ready To Move,GOOD,sec 11,4 BHK,750,2,1,10500
non-residential,Ready To Move,GOOD,sec 10,2 BHK,800,3,1,13000
non-residential,10-Feb,GOOD,sec 14,2 BHK,1050,2,1,18000
residential,Ready To Move,GOOD,sec 2,3 BHK,800,2,1,13000
residential,Ready To Move,GOOD,sec 3,2 BHK,1050,2,2,18000
residential,Ready To Move,GOOD,sec 4 ,2 BHK,800,2,1,18000
residential,Ready To Move,GOOD,sec 10,4 Bedroom,700,2,1,14000
residential,Ready To Move,GOOD,sec 10,5 Bedroom,1150,2,1,14000
residential,Ready To Move                    15-Feb,GOOD,sec 6,4 Bedroom,1250,3,2,24000
residential,Ready To Move,GOOD,sec 7,2 BHK,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 8,2 BHK,750,2,1,14500
residential,Ready To Move,GOOD,sec 7,3 BHK,800,2,1,15000
non-residential,Ready To Move,GOOD,sec 2,3 BHK,1000,2,1,18000
non-residential,Ready To Move,GOOD,sec 4 ,3 BHK,850,2,1,13000
residential,Ready To Move,GOOD,sec 7,4 BHK,1100,3,2,20000
residential,Ready To Move,GOOD,sec 8,2 BHK,1150,3,2,22000
residential,Ready To Move,GOOD,sec 6,2 BHK,1200,3,2,23500
residential,Ready To Move                    19-Feb,GOOD,sec 1,2 BHK,1250,3,2,24500
residential,Ready To Move,GOOD,sec 2,3 BHK,1050,3,2,18500
non-residential,Ready To Move,GOOD,sec 2,2 BHK,800,2,1,14000
non-residential,Ready To Move,GOOD,sec 2,2 BHK,750,2,1,13500
non-residential,Ready To Move,GOOD,sec 1,3 BHK,800-850,2,1,14000
non-residential,Ready To Move,GOOD,sec 1,2 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec6,2 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 10,2 BHK,700,2,1,12500
non-residential,Ready To Move,GOOD,sec 11,3 BHK,700,2,1,11500
non-residential,Ready To Move,GOOD,sec 11,2 BHK,400,1,0,9500
non-residential,Ready To Move,GOOD,sec 13,3 BHK,1000,2,1,14500
non-residential,Ready To Move,GOOD,sec 13,3 BHK,950,2,1,12000
non-residential,Ready To Move                    22-Feb,GOOD,sec 14,2 BHK,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 10,3 BHK,1050,3,1,16000
non-residential,Ready To Move,GOOD,sec 2,3 BHK,800,2,1,13000
residential,Ready To Move,MEDIUM,sec 2,3 BHK,1100,3,2,19500
residential,Ready To Move,GOOD,sec 2,3 BHK,1250,3,2,25000
residential,Ready To Move,GOOD,sec 2,2 BHK,1100,3,2,18000
non-residential,Ready To Move,GOOD,sec 2,2 BHK,800,2,1,10000
non-residential,Ready To Move                   25-Feb,GOOD,sec 1,3 BHK,700,2,1,12000
non-residential,Ready To Move,GOOD,sec 10,2 BHK,750,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,3 BHK,750,2,1,13000
residential,Ready To Move,GOOD,sec 7,3 BHK,800,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,2 BHK,950,2,1,15500
residential,Ready To Move,GOOD,sec 1,4 BHK,800-850,2,1,13000
residential,Ready To Move,GOOD,sec 1,2 BHK,900-950,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,2 BHK,1000,3,1,10000
residential,Ready To Move,GOOD,sec 6,1 Bedroom,1200,2,1,15000
residential,Ready To Move,GOOD,sec 7,4 BHK,1250,2,1,25000
residential,Ready To Move,GOOD,sec 8,4 BHK,1200,1,2,14000
residential,Ready To Move,GOOD,sec 10,2 BHK,850,2,0,12000
residential,Ready To Move,GOOD,sec 10,2 BHK,800,0,0,23000
NON-residential,Ready To Move,GOOD,sec 11,3 BHK,750,0,0,14000
residential,Ready To Move,MEDIUM,sec 13,3 BHK,700,1,1,10000
residential,Ready To Move,MEDIUM,sec 14,2 BHK,450,1,0,10000
residential,Ready To Move,MEDIUM,sec 14,3 BHK,1050,3,0,12000
residential,Ready To Move,GOOD,sec13,3 BHK,1300,2,1,15000
residential,Ready To Move,BAD,sec 7,3 Bedroom,1250,0,0,14000
residential,Ready To Move,BAD,sec 6,5 Bedroom,1200,1,1,13500
residential,Ready To Move,GOOD,sec 2,2 BHK,750,0,0,15200
residential,Ready To Move,GOOD,sec 1,3 BHK,850,0,0,10000
residential,Ready To Move,GOOD,sec 6,3 BHK,450,1,1,9500
residential,Ready To Move,GOOD,sec 1,2 BHK,650,1,1,9500
residential,Ready To Move,GOOD,sec 1,2 BHK,950,2,1,12000
residential,Ready To Move,GOOD,sec 8,2 BHK,900,2,1,12000
residential,Ready To Move,GOOD,sec 7,2 Bedroom,850,2,1,13550
residential,Ready To Move,BAD,sec 6,2 BHK,1200,2,1,18000
residential,Ready To Move,GOOD,sec 6,4 Bedroom,850,2,1,12000
residential,Ready To Move,GOOD,sec 10,3 BHK,1250,3,1,15000
residential,Ready To Move,GOOD,sec 10,3 BHK,1200,3,1,15500
residential,Ready To Move,GOOD,sec 10,4 BHK,2500,4,3,30000
residential,Ready To Move,GOOD,sec 6,1 BHK,2500,4,3,35000
residential,Ready To Move,MEDIUM,sec 4 ,2 BHK,2400,3,3,28000
residential,Ready To Move,MEDIUM,sec 10,1 BHK,1250,3,2,14000
COMMECIAL,Ready To Move,MEDIUM,sec 11,3 BHK,2450,4,3,35000
residential,Ready To Move,GOOD,sec 13,8 Bedroom,2400,4,2,35000
residential,Ready To Move,GOOD,sec 14,2 BHK,2350,4,2,25000
residential,Ready To Move,GOOD,sec 2,3 BHK,650,2,0,14000
residential,Ready To Move,BAD,sec 1,3 BHK,850,2,1,15000
residential,Ready To Move,GOOD,sec 1,4 Bedroom,450,1,0,10000
residential,Ready To Move,GOOD,sec 2,2 BHK,850,2,1,13500
residential,Ready To Move,GOOD,sec 2,2 BHK,800,2,1,15000
residential,Ready To Move,GOOD,sec 6,2 BHK,900,2,0,13000
residential,Ready To Move,GOOD,sec 4 ,4 Bedroom,950,2,1,14000
residential,Ready To Move,GOOD,sec 6,4 Bedroom,800,2,1,12000
residential,Ready To Move,GOOD,sec 2,4 Bedroom,750,1,1,14000
residential,Ready To Move,GOOD,sec 2,2 BHK,1200,2,1,16000
residential,Ready To Move,GOOD,sec 2,3 BHK,1250,2,2,18000
residential,Ready To Move,GOOD,sec 2,5 Bedroom,650,1,1,12000
residential,Ready To Move,GOOD,sec 1,1 BHK,450,1,0,10000
residential,Ready To Move,GOOD,sec 6,1 BHK,1200,2,1,15000
residential,Ready To Move,GOOD,sec 11,3 BHK,1000,1,2,15000
residential,Ready To Move,GOOD,sec 13,2 BHK,1250,1,2,14000
residential,Ready To Move,GOOD,sec 14,2 BHK,1200,3,2,15000
residential,Ready To Move,GOOD,sec 10,1 BHK,850,1,1,10000
residential,Ready To Move,GOOD,sec 11,1 BHK,950,2,1,14000
residential,Ready To Move,GOOD,sec 14,4 BHK,900,0,0,14500
residential,Ready To Move,GOOD,sec 10,5 Bedroom,800,1,0,12000
residential,Ready To Move,GOOD,sec 4 ,4 Bedroom,750,1,1,12500
residential,Ready To Move,GOOD,sec 1,4 Bedroom,450,0,0,7000
residential,Ready To Move,GOOD,sec 6,3 BHK,650,1,1,10000
residential,Ready To Move,GOOD,sec 2,3 BHK,900,1,1,13000
residential,Ready To Move,GOOD,sec 7,4 Bedroom,800,1,1,12000
residential,Ready To Move,GOOD,sec 8,2 BHK,1200,2,1,18000
residential,Ready To Move,GOOD,sec 10,3 BHK,1000,2,1,15000
residential,Ready To Move,GOOD,sec 14,1 BHK,1250,2,1,19500
residential,Ready To Move,GOOD,sec 2,4 Bedroom,1650,3,2,20000
residential,Ready To Move,GOOD,sec 6,6 Bedroom,1750,3,3,24000
residential,Ready To Move,GOOD,sec 10,3 BHK,1200,2,1,16500
residential,Ready To Move,GOOD,sec 4 ,3 BHK,1000,1,1,13000
residential,Ready To Move,GOOD,sec 2,2 BHK,450,0,0,8000
residential,Ready To Move,GOOD,sec 6,3 BHK,950,1,0,14000
residential,Ready To Move,GOOD,sec 7,4 BHK,750,1,1,12500
COMMERCIAL,Ready To Move,GOOD,sec 1,3 BHK,2400,4,3,29000
COMMERCIAL,Ready To Move,GOOD,sec 8,2 BHK,2600,5,3,36000
residential,Ready To Move,GOOD,sec 8,2 BHK,2250,3,2,24000
residential,Ready To Move,GOOD,sec 10,4 Bedroom,1520,4,3,18000
residential,Ready To Move,GOOD,sec 11,3 BHK,1400,2,2,17500
residential,Ready To Move,GOOD,sec 12,3 BHK,800,1,1,10000
residential,Ready To Move,GOOD,sec 13,1 Bedroom,850,1,1,10500
residential,Ready To Move,GOOD,sec 14,3 BHK,750,1,0,12000
residential,Ready To Move,GOOD,sec 8,3 Bedroom,950,2,1,1250
residential,Ready To Move,GOOD,sec 12,1 BHK,800,2,1,13000
residential,Ready To Move,GOOD,sec 13,4 Bedroom,700,1,1,10000
residential,Ready To Move,GOOD,sec 10,3 Bedroom,900,2,1,12000
residential,Ready To Move,GOOD,sec 2,2 Bedroom,800,1,1,14000
residential,Ready To Move,GOOD,sec 1,2 BHK,850,0,0,14000
residential,Ready To Move,GOOD,sec 2,3 BHK,1200,1,0,13000
residential,Ready To Move,GOOD,sec 6,3 BHK,1150,3,0,14500
residential,Ready To Move,GOOD,sec 13,2 BHK,1200,2,1,15000
residential,Ready To Move,GOOD,sec 4 ,4 BHK,1250,1,1,18000
residential,Ready To Move,GOOD,sec 8,1 BHK,1500,2,2,25000
residential,Ready To Move,GOOD,sec 7,2 BHK,1200,2,2,20000
residential,Ready To Move,GOOD,sec 6,8 Bedroom,1000,2,1,18000
COMMERCIAL,Ready To Move,GOOD,sec 10,3 Bedroom,2400,4,3,42000
COMMERCIAL,Ready To Move,GOOD,sec 1,2 BHK,2450,5,4,40000
residential,Ready To Move,GOOD,sec 13,2 BHK,2200,3,2,35000
residential,Ready To Move,GOOD,sec 14,3 BHK,1250,2,1,15000
residential,Ready To Move,GOOD,sec 10,2 BHK,1100,2,1,14000
residential,Ready To Move,GOOD,sec 2,5 Bedroom,450,0,0,8000
residential,Ready To Move,GOOD,sec 1,3 BHK,950,2,1,10000
residential,Ready To Move,GOOD,sec 12,4 Bedroom,850,0,0,13000
residential,Ready To Move,GOOD,sec 6,4 BHK,750,0,0,12000
residential,Ready To Move,GOOD,sec 2,3 BHK,1150,2,1,14000
residential,Ready To Move                    31-Jan,GOOD,sec 1,3 BHK,1200,3,2,20000
residential,Ready To Move                    31-Jan,GOOD,sec 2,3 Bedroom,1200,3,2,20000
residential,Ready To Move,GOOD,sec 3,2 BHK,1200,3,2,21000
non-residential,Ready To Move,GOOD,sec 4 ,3 BHK,800,2,1,12000
non-residential,Ready To Move,GOOD,sec 13,1 BHK,800,2,1,12500
non-residential,Ready To Move,GOOD,sec 6,3 Bedroom,800,2,1,13000
non-residential,Ready To Move                    08-Feb,GOOD,sec 7,2 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,2 BHK,1050,2,2,18000
non-residential,Ready To Move,GOOD,sec 11,2 BHK,750,2,1,10500
non-residential,Ready To Move,GOOD,sec 10,4 Bedroom,800,3,1,13000
non-residential,10-Feb,GOOD,sec 14,2 BHK,1050,2,1,18000
residential,Ready To Move,GOOD,sec 2,1 BHK,800,2,1,13000
residential,Ready To Move,GOOD,sec 3,3 BHK,1050,2,2,18000
residential,Ready To Move,GOOD,sec 4 ,3 Bedroom,800,2,1,18000
residential,Ready To Move,GOOD,sec 10,2 BHK,700,2,1,14000
residential,Ready To Move,GOOD,sec 10,2 BHK,1150,2,1,14000
residential,Ready To Move                    15-Feb,GOOD,sec 6,3 BHK,1250,3,2,24000
residential,Ready To Move,GOOD,sec 7,3 BHK,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 8,2 BHK,750,2,1,14500
residential,Ready To Move,GOOD,sec 7,3 BHK,800,2,1,15000
non-residential,Ready To Move,GOOD,sec 2,4 Bedroom,1000,2,1,18000
non-residential,Ready To Move,GOOD,sec 4 ,2 BHK,850,2,1,13000
residential,Ready To Move,GOOD,sec 7,1 BHK,1100,3,2,20000
residential,Ready To Move,GOOD,sec 8,3 BHK,1150,3,2,22000
residential,Ready To Move,GOOD,sec 6,3 BHK,1200,3,2,23500
residential,Ready To Move                    19-Feb,GOOD,sec 1,2 BHK,1250,3,2,24500
residential,Ready To Move,GOOD,sec 2,2 BHK,1050,3,2,18500
non-residential,Ready To Move,GOOD,sec 2,3 BHK,800,2,1,14000
non-residential,Ready To Move,GOOD,sec 2,3 BHK,750,2,1,13500
non-residential,Ready To Move,GOOD,sec 1,3 BHK,800-850,2,1,14000
non-residential,Ready To Move,GOOD,sec 1,2 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec6,2 BHK,800,2,1,13000
non-residential,Ready To Move,GOOD,sec 10,2 BHK,700,2,1,12500
non-residential,Ready To Move,GOOD,sec 11,3 BHK,700,2,1,11500
non-residential,Ready To Move,GOOD,sec 11,2 BHK,400,1,0,9500
non-residential,Ready To Move,GOOD,sec 13,1 BHK,1000,2,1,14500
non-residential,Ready To Move,GOOD,sec 13,3 BHK,950,2,1,12000
non-residential,Ready To Move                    22-Feb,GOOD,sec 14,4 Bedroom,1000,2,1,14000
non-residential,Ready To Move,GOOD,sec 10,2 BHK,1050,3,1,16000
non-residential,Ready To Move,GOOD,sec 2,2 BHK,800,2,1,13000
residential,Ready To Move,MEDIUM,sec 2,3 BHK,1100,3,2,19500
residential,Ready To Move,GOOD,sec 2,3 BHK,1250,3,2,25000
residential,Ready To Move,GOOD,sec 2,2 BHK,1100,3,2,18000
non-residential,Ready To Move,GOOD,sec 2,3 Bedroom,800,2,1,10000
non-residential,Ready To Move                   25-Feb,GOOD,sec 1,2 BHK,700,2,1,12000
non-residential,Ready To Move,GOOD,sec 10,4 Bedroom,750,2,1,13000
non-residential,Ready To Move,GOOD,sec 8,2 BHK,750,2,1,13000
residential,Ready To Move,GOOD,sec 7,3 BHK,800,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,5 Bedroom,950,2,1,15500
residential,Ready To Move,GOOD,sec 1,2 BHK,800-850,2,1,13000
residential,Ready To Move,GOOD,sec 1,3 BHK,900-950,2,1,14000
residential,Ready To Move,GOOD,sec 4 ,2 BHK,1000,3,1,10000
residential,Ready To Move,GOOD,sec 6,3 BHK,1200,2,1,15000
residential,Ready To Move,GOOD,sec 7,3 BHK,1250,2,1,25000
residential,Ready To Move,GOOD,sec 8,3 BHK,1200,1,2,14000
residential,Ready To Move,GOOD,sec 10,3 BHK,850,2,0,12000
residential,Ready To Move,GOOD,sec 10,3 BHK,800,0,0,23000
NON-residential,Ready To Move,GOOD,sec 11,3 BHK,750,0,0,14000
residential,Ready To Move,MEDIUM,sec 13,3 Bedroom,700,1,1,10000
residential,Ready To Move,MEDIUM,sec 14,2 BHK,450,1,0,10000
residential,Ready To Move,MEDIUM,sec 14,2 BHK,1050,3,0,12000
residential,Ready To Move,GOOD,sec13,3 BHK,1300,2,1,15000
residential,Ready To Move,BAD,sec 7,3 BHK,1250,0,0,14000
residential,Ready To Move,BAD,sec 6,2 BHK,1200,1,1,13500
residential,Ready To Move,GOOD,sec 2,4 BHK,750,0,0,15200
residential,Ready To Move,GOOD,sec 1,4 Bedroom,850,0,0,10000
residential,Ready To Move,GOOD,sec 6,2 BHK,450,1,1,9500
residential,Ready To Move,GOOD,sec 1,2 BHK,650,1,1,9500
residential,Ready To Move,GOOD,sec 1,2 BHK,950,2,1,12000
residential,Ready To Move,GOOD,sec 8,3 Bedroom,900,2,1,12000
residential,Ready To Move,GOOD,sec 7,3 BHK,850,2,1,13550
residential,Ready To Move,BAD,sec 6,4 BHK,1200,2,1,18000
residential,Ready To Move,GOOD,sec 6,3 BHK,850,2,1,12000
residential,Ready To Move,GOOD,sec 10,3 Bedroom,1250,3,1,15000
residential,Ready To Move,GOOD,sec 10,3 BHK,1200,3,1,15500
residential,Ready To Move,GOOD,sec 10,4 BHK,2500,4,3,30000
residential,Ready To Move,GOOD,sec 6,2 BHK,2500,4,3,35000
residential,Ready To Move,MEDIUM,sec 4 ,2 BHK,2400,3,3,28000
residential,Ready To Move,MEDIUM,sec 10,2 BHK,1250,3,2,14000
